Frame 0, Person 0:
  Keypoint 6: (x=956.08, y=439.83, confidence=1.00)
  Keypoint 7: (x=1115.74, y=532.24, confidence=0.99)
  Keypoint 8: (x=1121.38, y=493.50, confidence=0.97)
  Keypoint 9: (x=1101.67, y=447.77, confidence=0.99)
Frame 12, Person 0:
  Keypoint 0: (x=667.30, y=465.29, confidence=1.00)
  Keypoint 1: (x=649.00, y=559.17, confidence=1.00)
  Keypoint 2: (x=611.11, y=511.67, confidence=1.00)
  Keypoint 3: (x=696.78, y=532.13, confidence=1.00)
  Keypoint 4: (x=580.84, y=536.64, confidence=1.00)
  Keypoint 5: (x=559.58, y=494.28, confidence=1.00)
  Keypoint 6: (x=600.85, y=419.85, confidence=1.00)
  Keypoint 7: (x=726.21, y=554.87, confidence=1.00)
  Keypoint 8: (x=793.09, y=489.43, confidence=1.00)
  Keypoint 9: (x=813.37, y=389.65, confidence=1.00)
Frame 12, Person 1:
  Keypoint 0: (x=304.04, y=484.43, confidence=1.00)
  Keypoint 1: (x=305.22, y=572.81, confidence=1.00)
  Keypoint 2: (x=264.21, y=539.01, confidence=1.00)
  Keypoint 3: (x=348.00, y=534.04, confidence=1.00)
  Keypoint 4: (x=243.73, y=542.77, confidence=1.00)
  Keypoint 5: (x=235.58, y=491.40, confidence=1.00)
  Keypoint 6: (x=297.28, y=455.20, confidence=0.99)
  Keypoint 7: (x=390.39, y=548.99, confidence=1.00)
  Keypoint 8: (x=431.60, y=498.17, confidence=1.00)
  Keypoint 9: (x=370.92, y=475.53, confidence=0.99)
Frame 12, Person 2:
  Keypoint 0: (x=1068.80, y=459.38, confidence=1.00)
  Keypoint 1: (x=1061.59, y=560.83, confidence=1.00)
  Keypoint 2: (x=1024.03, y=511.43, confidence=1.00)
  Keypoint 3: (x=1109.23, y=512.92, confidence=1.00)
  Keypoint 4: (x=961.75, y=533.59, confidence=1.00)
  Keypoint 5: (x=891.04, y=525.29, confidence=1.00)
  Keypoint 6: (x=956.10, y=439.85, confidence=1.00)
  Keypoint 7: (x=1115.70, y=532.33, confidence=0.99)
  Keypoint 8: (x=1121.42, y=493.79, confidence=0.97)
  Keypoint 9: (x=1101.78, y=447.96, confidence=0.99)
Frame 13, Person 0:
  Keypoint 0: (x=667.07, y=465.43, confidence=1.00)
  Keypoint 1: (x=648.83, y=559.21, confidence=1.00)
  Keypoint 2: (x=610.97, y=511.68, confidence=1.00)
  Keypoint 3: (x=696.55, y=532.14, confidence=1.00)
  Keypoint 4: (x=580.82, y=536.68, confidence=1.00)
  Keypoint 5: (x=559.70, y=494.02, confidence=1.00)
  Keypoint 6: (x=600.95, y=419.90, confidence=1.00)
  Keypoint 7: (x=725.98, y=554.99, confidence=1.00)
  Keypoint 8: (x=792.83, y=489.51, confidence=1.00)
  Keypoint 9: (x=813.38, y=389.82, confidence=1.00)
Frame 13, Person 1:
  Keypoint 0: (x=303.68, y=484.45, confidence=1.00)
  Keypoint 1: (x=305.23, y=572.56, confidence=1.00)
  Keypoint 2: (x=264.13, y=539.01, confidence=1.00)
  Keypoint 3: (x=348.05, y=533.73, confidence=1.00)
  Keypoint 4: (x=243.81, y=543.30, confidence=1.00)
  Keypoint 5: (x=235.56, y=491.71, confidence=1.00)
  Keypoint 6: (x=296.28, y=455.19, confidence=0.99)
  Keypoint 7: (x=389.83, y=549.18, confidence=1.00)
  Keypoint 8: (x=431.62, y=498.22, confidence=1.00)
  Keypoint 9: (x=371.01, y=476.03, confidence=0.99)
Frame 13, Person 2:
  Keypoint 0: (x=1068.94, y=459.25, confidence=1.00)
  Keypoint 1: (x=1061.45, y=560.81, confidence=1.00)
  Keypoint 2: (x=1024.06, y=511.21, confidence=1.00)
  Keypoint 3: (x=1109.24, y=512.97, confidence=1.00)
  Keypoint 4: (x=961.71, y=533.53, confidence=1.00)
  Keypoint 5: (x=891.20, y=525.30, confidence=1.00)
  Keypoint 6: (x=956.22, y=439.28, confidence=1.00)
  Keypoint 7: (x=1115.56, y=532.70, confidence=0.99)
  Keypoint 8: (x=1121.38, y=493.89, confidence=0.97)
  Keypoint 9: (x=1101.92, y=448.00, confidence=0.99)
Frame 14, Person 0:
  Keypoint 0: (x=664.92, y=465.65, confidence=1.00)
  Keypoint 1: (x=648.65, y=559.53, confidence=1.00)
  Keypoint 2: (x=610.05, y=512.68, confidence=1.00)
  Keypoint 3: (x=696.35, y=530.97, confidence=1.00)
  Keypoint 4: (x=580.00, y=537.03, confidence=1.00)
