Frame 0, Person 0:
  Keypoint 5: (x=1127.77, y=322.71, confidence=0.97)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.01)
  Keypoint 7: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 8: (x=0.00, y=0.00, confidence=0.09)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.01)
Frame 9, Person 0:
  Keypoint 0: (x=177.56, y=273.14, confidence=1.00)
  Keypoint 1: (x=150.50, y=333.87, confidence=1.00)
  Keypoint 2: (x=225.36, y=319.17, confidence=1.00)
  Keypoint 3: (x=192.25, y=370.47, confidence=1.00)
  Keypoint 4: (x=266.63, y=377.04, confidence=1.00)
  Keypoint 5: (x=144.75, y=381.92, confidence=1.00)
  Keypoint 6: (x=113.49, y=472.58, confidence=1.00)
  Keypoint 7: (x=333.91, y=428.79, confidence=0.99)
  Keypoint 8: (x=330.82, y=312.13, confidence=0.99)
  Keypoint 9: (x=0.00, y=0.00, confidence=0.02)
Frame 9, Person 1:
  Keypoint 0: (x=884.22, y=265.45, confidence=1.00)
  Keypoint 1: (x=843.79, y=320.24, confidence=1.00)
  Keypoint 2: (x=925.64, y=324.57, confidence=1.00)
  Keypoint 3: (x=882.89, y=360.79, confidence=1.00)
  Keypoint 4: (x=928.88, y=365.46, confidence=0.99)
  Keypoint 5: (x=811.81, y=362.41, confidence=1.00)
  Keypoint 6: (x=767.47, y=369.82, confidence=0.98)
  Keypoint 7: (x=959.91, y=391.22, confidence=0.98)
  Keypoint 8: (x=964.11, y=304.32, confidence=0.98)
  Keypoint 9: (x=822.23, y=312.96, confidence=1.00)
Frame 9, Person 2:
  Keypoint 0: (x=589.50, y=274.10, confidence=1.00)
  Keypoint 1: (x=555.96, y=332.23, confidence=1.00)
  Keypoint 2: (x=636.05, y=319.97, confidence=1.00)
  Keypoint 3: (x=593.35, y=372.45, confidence=1.00)
  Keypoint 4: (x=654.62, y=382.19, confidence=1.00)
