Frame 0, Person 0:
  Keypoint 5: (x=114.16, y=472.83, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=270.83, y=381.02, confidence=1.00)
  Keypoint 8: (x=331.96, y=426.70, confidence=1.00)
  Keypoint 9: (x=329.72, y=310.51, confidence=1.00)
Frame 10, Person 1:
  Keypoint 0: (x=883.35, y=267.03, confidence=1.00)
  Keypoint 1: (x=884.19, y=361.29, confidence=1.00)
  Keypoint 2: (x=843.26, y=317.95, confidence=1.00)
  Keypoint 3: (x=924.10, y=321.31, confidence=1.00)
  Keypoint 4: (x=813.86, y=361.41, confidence=1.00)
  Keypoint 5: (x=768.08, y=368.61, confidence=1.00)
  Keypoint 6: (x=823.26, y=312.67, confidence=1.00)
  Keypoint 7: (x=928.39, y=368.28, confidence=1.00)
  Keypoint 8: (x=956.96, y=391.12, confidence=0.99)
  Keypoint 9: (x=962.65, y=304.05, confidence=1.00)
Frame 10, Person 2:
  Keypoint 0: (x=589.68, y=274.51, confidence=1.00)
  Keypoint 1: (x=596.27, y=374.46, confidence=1.00)
  Keypoint 2: (x=557.06, y=330.00, confidence=1.00)
  Keypoint 3: (x=634.44, y=318.43, confidence=1.00)
  Keypoint 4: (x=518.11, y=375.08, confidence=1.00)
  Keypoint 5: (x=437.36, y=394.85, confidence=1.00)
  Keypoint 6: (x=0.00, y=0.00, confidence=0.00)
  Keypoint 7: (x=654.44, y=380.54, confidence=1.00)
  Keypoint 8: (x=707.20, y=359.27, confidence=1.00)
